page,code,title,blurb,href
1,41132,Police Sergeant - EID,"A Police Sergeant – EID (Education Incentive Differential Program) plans and coordinates the work of Police Officers. The work of this class involves supervising police personnel. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts including evening, weekend and holiday hours. The employee works in various neighborhood and business communities where such conditions as the seasonal extremes of weather, violent persons and crowds and automobile traffic are encountered. The work requires extreme physical exertion involving chasing and subduing crime suspects. DISTINGUISHING FEATURES OF THE WORK The distinguishing feature from the class...",/careers/baltimorecity/classspecs/791493
1,41112,Police Sergeant,"A Police Sergeant plans and coordinates the work of Police Officers. The work of this class involves supervising police personnel. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts including evening, weekend and holiday hours. The employee works in various neighborhood and business communities where such conditions as the seasonal extremes of weather, violent persons and crowds and automobile traffic are encountered. The work requires extreme physical exertion involving chasing and subduing crime suspects. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791492
1,41122,Police Flight Officer,"A Police Flight Officer operates a helicopter over the City of Baltimore for the purpose of assisting law enforcement officers in the control and suppression of crime. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including evenings, weekends and holidays. Work is performed in a helicopter where such conditions as seasonal weather extremes, poor flying conditions and night flying are encount­er­ed and on patrol in various areas of the City where such conditions as violent persons and crowds, auto­mobile traffic and other dangerous and stressful situations...",/careers/baltimorecity/classspecs/791480
1,41133,Police Lieutenant - EID,"A Police Lieutenant-EID (Education Incentive Differential Program) commands police and other personnel in a police district or performs enforcement work. Work of this class involves supervising police and other personnel. Incumbents receive general supervision from a technical superior.  Employees in this class work rotating shifts including evening, weekend and holiday hours. The employee works in various neighborhood and business communities where such conditions as the seasonal extremes of weather, violent persons and crowds and automobile traffic are encountered. Work requires moderate physical exertion when overseeing police patrols in an assigned area. DISTINGUISHING FEATURES OF THE...",/careers/baltimorecity/classspecs/791486
1,41191,Police Cadet,"A Police Cadet receives training in law enforcement practices and procedures. Work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a technical superior. Employees in this class work rotating shifts including evening, weekend and holiday hours. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791477
1,41113,Police Lieutenant,"A Police Lieutenant commands police and other personnel in a police district or performs enforcement work. Work of this class involves supervising police and other personnel. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including evening, weekend and holiday hours. The employee works in various neighborhood and business communities where such conditions as the seasonal extremes of weather, violent persons and crowds and automobile traffic are encountered. Work requires moderate physical exertion when overseeing police patrols in an assigned area. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791485
1,41121,Police Officer - EID,"A Police Officer-EID (Education Incentive Differential Program) patrols an assigned post by foot and by motor vehicle in a police district to prevent and discover the commission of crime, to maintain order and to protect life and property applying sound independent judgement in accordance with State and local laws and Baltimore Police Department rules, policies and procedures. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including evenings, weekends and holidays. The employee works in various areas of the City where such conditions as seasonal weather...",/careers/baltimorecity/classspecs/791488
1,33831,Police Report Reviewer,"A Police Report Reviewer reviews, classifies and codes police reports. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class are required to work shift work. Work is performed in an office where normal working conditions are encountered. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791490
1,33834,Police Report Reviewer Supervisor,A Police Report Reviewer Supervisor is responsible for police report reviewing activities. The work of this class involves supervising police report review personnel. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift which includes weekend and holiday hours. The work is performed in an office where no uncomfortable conditions are encountered. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791491
1,33385,Police Information Technician Supervisor,"A Police Information Technician Supervisor schedules, plans and reviews assignments and participates in the activities of a police information unit. Work of this class involves supervising police information technicians and community service officers. Incumbents receive moderate supervision from an administrative superior.  Employees in this class may be required to work rotating shifts to provide coverage for evenings and weekends. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791484
2,33682,Police Human Resources Associate,A Police Human Resources Associate performs a variety of human resources work of a moderately complex nature in a City agency. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where there are no uncomfortable or hazardous work conditions. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791481
2,41133,Police Lieutenant - EID,"A Police Lieutenant-EID (Education Incentive Differential Program) commands police and other personnel in a police district or performs enforcement work. Work of this class involves supervising police and other personnel. Incumbents receive general supervision from a technical superior.  Employees in this class work rotating shifts including evening, weekend and holiday hours. The employee works in various neighborhood and business communities where such conditions as the seasonal extremes of weather, violent persons and crowds and automobile traffic are encountered. Work requires moderate physical exertion when overseeing police patrols in an assigned area. DISTINGUISHING FEATURES OF THE...",/careers/baltimorecity/classspecs/791486
2,41113,Police Lieutenant,"A Police Lieutenant commands police and other personnel in a police district or performs enforcement work. Work of this class involves supervising police and other personnel. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including evening, weekend and holiday hours. The employee works in various neighborhood and business communities where such conditions as the seasonal extremes of weather, violent persons and crowds and automobile traffic are encountered. Work requires moderate physical exertion when overseeing police patrols in an assigned area. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791485
2,33831,Police Report Reviewer,"A Police Report Reviewer reviews, classifies and codes police reports. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class are required to work shift work. Work is performed in an office where normal working conditions are encountered. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791490
2,33834,Police Report Reviewer Supervisor,A Police Report Reviewer Supervisor is responsible for police report reviewing activities. The work of this class involves supervising police report review personnel. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift which includes weekend and holiday hours. The work is performed in an office where no uncomfortable conditions are encountered. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791491
2,41131,Police Filght Officer - EID,"A Police Flight Officer-EID (Education Incentive Differential Program) operates a helicopter over the City of Baltimore for the purpose of assisting law enforcement officers in the control and suppression of crime. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including evenings, weekends and holidays. Work is performed in a helicopter where such conditions as seasonal weather extremes, poor flying conditions and night flying are encount­er­ed and on patrol in various areas of the City where such conditions as violent persons and crowds, auto­mobile traffic...",/careers/baltimorecity/classspecs/791479
2,41111,Police Officer,"A Police Officer patrols an assigned post by foot and by motor vehicle in a police district to prevent and discover the commission of crime, to maintain order and to protect life and property applying sound independent judgement in accordance with State and local laws and Baltimore Police Department rules, policies and procedures. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including evenings, weekends and holidays. The employee works in various areas of the City where such conditions as seasonal weather extremes, violent persons and crowds, automobile...",/careers/baltimorecity/classspecs/791487
2,33382,Police Information Lead Technician,"A Police Information Lead Technician assigns and reviews the work of subordinate police information technicians and community service officers on a shift and utilizes a computer terminal to inquire, enter, clear, cancel and locate criminal and police records information to respond to inquiries by Police Officers and other appropriate law enforcement personnel and agencies. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class are required to work rotating shifts to provide evening and weekend coverage. Work is performed in an office where employees may be exposed to minor physical...",/careers/baltimorecity/classspecs/791482
2,33649,Fire & Police Benefits Supervisor,"A Fire & Police Benefits Analyst Supervisor oversees the work of providing retirement plan assistance to sworn City employees, participates in retirement administration and performs special retirement system projects.  Work of this class involves supervising fire and police benefits analysts and medical claims processing personnel. Incumbents receive general supervision from an administrative superior.  Employees in this class work a conventional workweek.  Work is performed in an office where normal working conditions are encountered.  Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Fire & Police...",/careers/baltimorecity/classspecs/1273368
2,33646,Fire & Police Benefits Analyst I,"A Fire & Police Benefit Analyst I provides a full range of retirement plan assistance such as benefits counseling, determining benefits eligibility and calculating benefits to sworn City employees.  Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior.  Employees in this class work a conventional workweek.  Work is performed in an office where normal working conditions are encountered.  Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of Fire & Police Benefits Analyst II in that it does not perform complex retirement...",/careers/baltimorecity/classspecs/1273366
3,33355,911 Operator Supervisor,A 911 Operator Supervisor coordinates and directs police emergency (911) call activities in the Police Department. Work of this class involves supervising subordinate police emergency communications personnel. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where high mental pressure and stress may be encountered at times. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/790802
3,33352,911 Lead Operator,"A 911 Lead Operator assigns, reviews and corrects the work of 911 Operators answering police emergency (911) telephone calls. The work of this class involves leading 911 Operators but does not involve full supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where high mental pressure and stress may be encountered at times. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of 911 Operator...",/careers/baltimorecity/classspecs/790800
3,33366,Call Center Operations Manager,"A Call Center Operations Manager oversees the activities of a City emergency or non-emergency call taking or dispatch section in the City’s centralized One Call Center facility. That facility receives, processes and dispatches emergency services in response to public calls for emergency and non-emergency police assistance, information and requests for a wide range of government services and ensures that operational efficiencies, goals and objectives are met. The work of this class involves directing the activities of call-taking or dispatch sections through subordinate supervisors. Incumbents receive managerial direction from an administrative superior. Employees in this class work a...",/careers/baltimorecity/classspecs/839653
