page,code,title,blurb,href
1,33352,911 Lead Operator,"A 911 Lead Operator assigns, reviews and corrects the work of 911 Operators answering police emergency (911) telephone calls. The work of this class involves leading 911 Operators but does not involve full supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where high mental pressure and stress may be encountered at times. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of 911 Operator...",/careers/baltimorecity/classspecs/790800
1,33351,911 Operator,A 911 Operator operates emergency telephone equipment and answers police emergency (911) telephone calls for assistance from the general public. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a rotating shift including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where high mental pressure and stress may be encountered at times. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of 911 Lead Operator in that it does not...,/careers/baltimorecity/classspecs/790801
1,33355,911 Operator Supervisor,A 911 Operator Supervisor coordinates and directs police emergency (911) call activities in the Police Department. Work of this class involves supervising subordinate police emergency communications personnel. Incumbents receive general supervision from a technical superior. Employees in this class work rotating shifts including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where high mental pressure and stress may be encountered at times. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/790802
1,34141,Accountant I,"An Accountant I performs a variety of accounting tasks. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of Accountant II in that it involves no lead work. It is also distinguished in that it involves no specialized duties such as developing accounting systems for third party contractors, preparing detailed financial reports, and conferring with program...",/careers/baltimorecity/classspecs/790803
1,34142,Accountant II,"An Accountant II performs such lead work as assigning, reviewing and approving the work of accounting personnel or performs specialized accounting work. Work of this class involves no supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of Accountant I in that it involves developing and monitoring accounting systems for third party programs, preparing detailed financial reports, conferring with...",/careers/baltimorecity/classspecs/790804
1,34145,Accountant Supervisor,"An Accountant Supervisor plans, schedules and coordinates accounting work for a City government agency. Work of this class involves supervising accounting personnel. Incumbents receive general supervision from a technical superior. Employees work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/790805
1,34191,Accountant Trainee,An Accountant Trainee receives training in governmental accounting practices and procedures. The work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical effort. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/790806
1,34131,Accounting Assistant I,An Accounting Assistant I maintains bookkeeping records and makes and verifies computations. The work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of Accounting Assistant II in that it involves such routine bookkeeping duties as the verification of computations and fiscal data and the maintenance of logs and basic bookkeeping records.,/careers/baltimorecity/classspecs/790807
1,34132,Accounting Assistant II,"An Accounting Assistant II maintains journals and balances and reconciles accounts and records. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of an Accounting Assistant I in that it involves such duties as the maintaining of journals, balancing accounts and performing a variety of activities requiring a knowledge of bookkeeping procedures and...",/careers/baltimorecity/classspecs/790808
1,34133,Accounting Assistant III,"An Accounting Assistant III prepares financial statements and records, examines accounts and records for compliance with accounting procedures, adjusts a variety of accounts and performs a wide range of specialized calculation and analysis work. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of Accounting Assistant II in that it involves auditing...",/careers/baltimorecity/classspecs/790809
